url;deprecated;valid_until;valid_from;id;label_en;label_it
http://publications.europa.eu/resource/authority/corporate-body/AASM;true;1976-03-30;1964-06-01;AASM;Associated African States and Madagascar;Stati africani e malgasci associati
http://publications.europa.eu/resource/authority/corporate-body/ABEC;true;1977-09-30;1967-07-01;ABEC;Audit Board of the European Communities;Commissione di controllo delle Comunità europee
http://publications.europa.eu/resource/authority/corporate-body/ACER;false;;2019-07-04;ACER;European Union Agency for the Cooperation of Energy Regulators;Agenzia dell’Unione europea per la cooperazione fra i regolatori nazionali dell’energia
http://publications.europa.eu/resource/authority/corporate-body/ACJHR;false;;2004-01-25;ACJHR;African Court of Justice and Human Rights;Corte africana di giustizia e dei diritti umani
http://publications.europa.eu/resource/authority/corporate-body/ACM;false;;2009-01-20;ACM;Arab Common Market;Mercato comune arabo
http://publications.europa.eu/resource/authority/corporate-body/ACP;false;;1976-04-01;ACP;African, Caribbean and Pacific Group of States;Gruppo degli Stati dell’Africa, dei Caraibi e del Pacifico
http://publications.europa.eu/resource/authority/corporate-body/ACP-EU_JA;true;2009-12-01;2009-11-30;ACP-EU_JA;ACP–EU Joint Assembly;Assemblea paritaria ACP–UE
http://publications.europa.eu/resource/authority/corporate-body/ACP-EU_JPA;false;;2009-12-01;ACP-EU_JPA;ACP–EU Joint Parliamentary Assembly;Assemblea parlamentare paritaria ACP–UE
http://publications.europa.eu/resource/authority/corporate-body/ACP_AMB;false;;1975-01-01;ACP_AMB;ACP Committee of Ambassadors;Comitato degli ambasciatori ACP
http://publications.europa.eu/resource/authority/corporate-body/ACP_CDE;true;2016-12-31;2000-08-01;ACP_CDE;Centre for the Development of Enterprise;Centro per lo sviluppo delle imprese
http://publications.europa.eu/resource/authority/corporate-body/ACP_MIN;false;;1975-01-01;ACP_MIN;ACP Council of Ministers;Consiglio dei Ministri ACP
http://publications.europa.eu/resource/authority/corporate-body/ACS;false;;1994-07-24;ACS;Association of Caribbean States;Associazione degli Stati dei Caraibi
http://publications.europa.eu/resource/authority/corporate-body/ACSH;false;;2004-01-01;ACSH;Advisory Committee on Safety and Health at Work;Comitato consultivo per la sicurezza e la salute sul luogo di lavoro
http://publications.europa.eu/resource/authority/corporate-body/ACSHHPW;true;2003-12-31;1974-07-09;ACSHHPW;Advisory Committee on Safety, Hygiene and Health Protection at Work;Comitato consultivo per la sicurezza, l’igiene e la tutela della salute sul luogo di lavoro
http://publications.europa.eu/resource/authority/corporate-body/ADB;false;;1966-12-19;ADB;Asian Development Bank;Banca asiatica di sviluppo
http://publications.europa.eu/resource/authority/corporate-body/AECL;false;;1958-01-01;AECL;Atomic Energy of Canada Limited;Atomic Energy of Canada Limited
http://publications.europa.eu/resource/authority/corporate-body/AEPPEPF;false;;2016-09-01;AEPPEPF;Authority for European Political Parties and European Political Foundations;Autorità per i partiti politici europei e le fondazioni politiche europee
