url,deprecated,valid_until,valid_from,id,label_en,label_it
http://publications.europa.eu/resource/authority/criterion/OP_DATPRO,,,,OP_DATPRO,Provisional data,Dati provvisori
http://publications.europa.eu/resource/authority/criterion/autorisation,false,,2021-06-16,autorisation,For service contracts: authorisation of particular organisation needed,
http://publications.europa.eu/resource/authority/criterion/aver-year-to,false,,2021-06-16,aver-year-to,Average yearly turnover,
http://publications.europa.eu/resource/authority/criterion/bankr-nat,false,,2021-06-16,bankr-nat,Analogous situation like bankruptcy under national law,
http://publications.europa.eu/resource/authority/criterion/bankruptcy,false,,2021-06-16,bankruptcy,Bankruptcy,
http://publications.europa.eu/resource/authority/criterion/chain-manage,false,,2021-06-16,chain-manage,Supply chain management,
http://publications.europa.eu/resource/authority/criterion/corruption,false,,2021-06-16,corruption,Corruption,
http://publications.europa.eu/resource/authority/criterion/cred-arran,false,,2021-06-16,cred-arran,Arrangement with creditors,
http://publications.europa.eu/resource/authority/criterion/crime-org,false,,2021-06-16,crime-org,Participation in a criminal organisation,
http://publications.europa.eu/resource/authority/criterion/distorsion,false,,2021-06-16,distorsion,Agreements with other economic operators aimed at distorting competition,
http://publications.europa.eu/resource/authority/criterion/envir-certif-indep,false,,2021-06-16,envir-certif-indep,Certificates by independent bodies about environmental management systems or standards,
http://publications.europa.eu/resource/authority/criterion/envir-law,false,,2021-06-16,envir-law,Breaching of obligations in the fields of environmental law,
http://publications.europa.eu/resource/authority/criterion/envir-measure,false,,2021-06-16,envir-measure,Environmental management measures,
http://publications.europa.eu/resource/authority/criterion/eo-group,false,,2021-06-16,eo-group,Economic operator together with others,
http://publications.europa.eu/resource/authority/criterion/finan-laund,false,,2021-06-16,finan-laund,Money laundering or terrorist financing,
http://publications.europa.eu/resource/authority/criterion/finan-rat,false,,2021-06-16,finan-rat,Financial ratio,
http://publications.europa.eu/resource/authority/criterion/finan-requ,false,,2021-06-16,finan-requ,Other economic or financial requirements,
http://publications.europa.eu/resource/authority/criterion/fraud,false,,2021-06-16,fraud,Fraud,
http://publications.europa.eu/resource/authority/criterion/gen-year-to,false,,2021-06-16,gen-year-to,General yearly turnover,
http://publications.europa.eu/resource/authority/criterion/human-traffic,false,,2021-06-16,human-traffic,Child labour and other forms of trafficking in human beings,
http://publications.europa.eu/resource/authority/criterion/indem-insu,false,,2021-06-16,indem-insu,Professional risk indemnity insurance,
http://publications.europa.eu/resource/authority/criterion/insolvency,false,,2021-06-16,insolvency,Insolvency,
http://publications.europa.eu/resource/authority/criterion/labour-law,false,,2021-06-16,labour-law,Breaching of obligations in the fields of labour law,
http://publications.europa.eu/resource/authority/criterion/liq-admin,false,,2021-06-16,liq-admin,Assets being administered by liquidator,
http://publications.europa.eu/resource/authority/criterion/manage-staff,false,,2021-06-16,manage-staff,Number of managerial staff,
http://publications.europa.eu/resource/authority/criterion/membership,false,,2021-06-16,membership,For service contracts: membership of particular organisation needed,
http://publications.europa.eu/resource/authority/criterion/misinterpr,false,,2021-06-16,misinterpr,"Guilty of misinterpretation, withheld information, unable to provide required documents and obtained confidential information of this procedure",
http://publications.europa.eu/resource/authority/criterion/nati-ground,false,,2021-06-16,nati-ground,Purely national exclusion grounds,
http://publications.europa.eu/resource/authority/criterion/partic-confl,false,,2021-06-16,partic-confl,Conflict of interest due to its participation in the procurement procedure,
http://publications.europa.eu/resource/authority/criterion/prep-confl,false,,2021-06-16,prep-confl,Direct or indirect involvement in the preparation of this procurement procedure,
http://publications.europa.eu/resource/authority/criterion/prof-misconduct,false,,2021-06-16,prof-misconduct,Guilty of grave professional misconduct,
http://publications.europa.eu/resource/authority/criterion/prof-regist,false,,2021-06-16,prof-regist,Enrolment in a relevant professional register,
http://publications.europa.eu/resource/authority/criterion/qa-certif-inst,false,,2021-06-16,qa-certif-inst,For supply contracts: certificates by quality control institutes,
http://publications.europa.eu/resource/authority/criterion/qu-certif-indep,false,,2021-06-16,qu-certif-indep,Certificates by independent bodies about quality assurance standards,
http://publications.europa.eu/resource/authority/criterion/qual-cont-tech,false,,2021-06-16,qual-cont-tech,Technicians or technical bodies for quality control,
