url,deprecated,valid_until,valid_from,id,label_en,label_it
http://publications.europa.eu/resource/authority/direct-award-justification/OP_DATPRO,false,,1952-07-23,OP_DATPRO,Provisional data,Dati provvisori
http://publications.europa.eu/resource/authority/direct-award-justification/additional,false,,2020-06-24,additional,Need for additional works or services by the original contractor,Necessità di ulteriori lavori o servizi eseguiti dall'appaltatore originale
http://publications.europa.eu/resource/authority/direct-award-justification/artistic,false,,2019-09-18,artistic,The contract can be provided only by a particular economic operator because of creation or acquisition of a unique work of art or artistic performance,L'appalto può essere eseguito solo da un particolare operatore economico in quanto consiste nella creazione o nell'acquisizione di un'opera d'arte o rappresentazione artistica unica
http://publications.europa.eu/resource/authority/direct-award-justification/bargain,false,,2019-09-18,bargain,Bargain purchase taking advantage of a particularly advantageous opportunity available for a very short time at a price considerably lower than market prices,"Acquisti d'opportunità, approfittando di un'occasione particolarmente vantaggiosa ma di breve durata, a prezzo sensibilmente inferiore ai prezzi normalmente praticati sul mercato"
http://publications.europa.eu/resource/authority/direct-award-justification/below-thres,false,,2020-06-24,below-thres,Contracts with estimated value below the procurement thresholds,Appalti il cui valore stimato è inferiore alle soglie relative agli appalti
http://publications.europa.eu/resource/authority/direct-award-justification/below-thres-sme,false,,2021-06-16,below-thres-sme,Small scale contract to a small and medium sized enterprise,Contratto su piccola scala con una piccola e media impresa
http://publications.europa.eu/resource/authority/direct-award-justification/closure,false,,2019-09-18,closure,Purchase on particularly advantageous terms from an economic operator which is definitely winding up its business activities,"Acquisto a condizioni particolarmente vantaggiose, da un fornitore che cessa definitivamente l'attività commerciale"
http://publications.europa.eu/resource/authority/direct-award-justification/commodity,false,,2019-09-18,commodity,Procurement of supplies quoted and purchased on a commodity market,Appalto di forniture quotate e acquistate sul mercato delle materie prime
http://publications.europa.eu/resource/authority/direct-award-justification/contest,false,,2019-09-18,contest,Service contract to be awarded to the winner or one of winners under the rules of a design contest,Appalto di servizi che deve essere aggiudicato al vincitore o ad uno dei vincitori secondo le regole di un concorso di progettazione
http://publications.europa.eu/resource/authority/direct-award-justification/crisis,false,,2019-09-18,crisis,The periods for the restricted procedure and the negotiated procedure with prior publication of a contract notice are incompatible with the urgency resulting from a crisis,L'urgenza risultante da situazioni di crisi non è compatibile con i termini previsti dalla procedura ristretta e dalla procedura negoziata con pubblicazione di un bando di gara
