url,deprecated,valid_until,valid_from,id,label_en,label_it
http://publications.europa.eu/resource/authority/eu-programme/AFIS2020,false,,2014-01-01,AFIS2020,Anti Fraud Information System (AFIS),Sistema d’informazione antifrode (AFIS)
http://publications.europa.eu/resource/authority/eu-programme/AGR,false,,2014-01-01,AGR,European Agricultural Guarantee Fund (after transfers between EAGF and EAFRD),Fondo europeo agricolo di garanzia (dopo trasferimenti tra FEAGA e FEASR)
http://publications.europa.eu/resource/authority/eu-programme/AGRNET,true,2014-01-02,2014-01-01,AGRNET,Net transfer between EAGF and EAFRD,Trasferimento netto tra FEAGA e FEASR
http://publications.europa.eu/resource/authority/eu-programme/AMF,false,,2014-01-01,AMF,"Asylum, Migration and Integration Fund (AMF)","Fondo Asilo, migrazione e integrazione"
http://publications.europa.eu/resource/authority/eu-programme/AMIF,false,,2021-01-01,AMIF,Asylum and Migration Fund (AMIF),Fondo Asilo e migrazione (AMF)
http://publications.europa.eu/resource/authority/eu-programme/ANTIFRAUD,false,,2021-01-01,ANTIFRAUD,EU Anti-Fraud Programme,Programma antifrode dell’UE
http://publications.europa.eu/resource/authority/eu-programme/BMVI,false,,2021-01-01,BMVI,Integrated Border Management Fund (IBMF) – instrument for border management and visa (BMVi),Fondo per la gestione integrata delle frontiere (IBMF) - Strumento per la gestione delle frontiere e i visti (BMVI)
http://publications.europa.eu/resource/authority/eu-programme/CCEI,false,,2021-01-01,CCEI,Integrated Border Management Fund (IBMF) – Instrument for financial support for customs control equipment (CCEi),Fondo per la gestione integrata delle frontiere (IBMF) - Strumento di sostegno finanziario relativo alle attrezzature per il controllo doganale (CCEI)
http://publications.europa.eu/resource/authority/eu-programme/CDF2020,false,,2014-01-01,CDF2020,"Rights, equality and citizenship programme","Programma Diritti, uguaglianza e cittadinanza"
http://publications.europa.eu/resource/authority/eu-programme/CEF,false,,2014-01-01,CEF,Connecting Europe Facility (CEF),Meccanismo per collegare l’Europa (CEF)
http://publications.europa.eu/resource/authority/eu-programme/CEF_2021,false,,2021-01-01,CEF_2021,Connecting Europe Facility (CEF),Meccanismo per collegare l’Europa (MCE)
http://publications.europa.eu/resource/authority/eu-programme/CERV,false,,2021-01-01,CERV,"Citizens, Equality, Rights and Values","Cittadini, uguaglianza, diritti e valori"
http://publications.europa.eu/resource/authority/eu-programme/CF,false,,2014-01-01,CF,Cohesion Fund (CF),Fondo di coesione (FC)
http://publications.europa.eu/resource/authority/eu-programme/CFSP2020,false,,2014-01-01,CFSP2020,Common foreign and security policy (CFSP),Politica estera e di sicurezza comune (PESC)
http://publications.europa.eu/resource/authority/eu-programme/CFSP_2021,false,,2021-01-01,CFSP_2021,Common Foreign and Security Policy (CFSP),Politica estera e di sicurezza comune (PESC)
http://publications.europa.eu/resource/authority/eu-programme/CF_2021,false,,2021-01-01,CF_2021,Cohesion Fund (CF),Fondo di coesione (FC)
