url;deprecated;valid_until;valid_from;id;label_en;label_it
http://publications.europa.eu/resource/authority/file-type/7Z;false;;2000-01-01;7Z;7z;
http://publications.europa.eu/resource/authority/file-type/AAB;false;;2021-08-01;AAB;AAB;
http://publications.europa.eu/resource/authority/file-type/AAC;false;;1997-01-01;AAC;AAC;
http://publications.europa.eu/resource/authority/file-type/AKN4EU;false;;2019-06-20;AKN4EU;AKN4EU file;
http://publications.europa.eu/resource/authority/file-type/AKN4EU_ZIP;false;;2019-06-20;AKN4EU_ZIP;AKN4EU ZIP;
http://publications.europa.eu/resource/authority/file-type/APK;false;;2008-09-23;APK;APK;
http://publications.europa.eu/resource/authority/file-type/APPX;false;;2012-10-26;APPX;AppX;
http://publications.europa.eu/resource/authority/file-type/ARC;false;;1996-05-12;ARC;ARC;
http://publications.europa.eu/resource/authority/file-type/ARCINFO_COV;false;;1982-01-01;ARCINFO_COV;ArcInfo coverage;
http://publications.europa.eu/resource/authority/file-type/ARC_GZ;false;;2012-09-01;ARC_GZ;ARC GZ;
http://publications.europa.eu/resource/authority/file-type/ARJ;false;;1990-01-01;ARJ;ARJ;
http://publications.europa.eu/resource/authority/file-type/ATOM;false;;2005-12-01;ATOM;Atom Feed;
http://publications.europa.eu/resource/authority/file-type/AZW;false;;2012-09-01;AZW;Amazon Kindle eBook;
http://publications.europa.eu/resource/authority/file-type/BIN;false;;1996-11-01;BIN;Binary Data;
http://publications.europa.eu/resource/authority/file-type/BITS;false;;2012-08-22;BITS;BITS XML;
http://publications.europa.eu/resource/authority/file-type/BMP;false;;1996-04-01;BMP;Bitmap Image File;
http://publications.europa.eu/resource/authority/file-type/BWF;false;;2001-07-01;BWF;BWF;
http://publications.europa.eu/resource/authority/file-type/BZIP2;false;;1996-07-18;BZIP2;bzip2;
http://publications.europa.eu/resource/authority/file-type/CSS;false;;2012-09-01;CSS;CSS;
http://publications.europa.eu/resource/authority/file-type/CSV;false;;2013-05-21;CSV;CSV;
http://publications.europa.eu/resource/authority/file-type/DAPK;false;;2022-04-06;DAPK;DAPK;
http://publications.europa.eu/resource/authority/file-type/DBF;false;;2013-09-18;DBF;DBF;
http://publications.europa.eu/resource/authority/file-type/DCR;false;;1988-01-01;DCR;DCR File;
http://publications.europa.eu/resource/authority/file-type/DEB;false;;1994-04-01;DEB;deb;
http://publications.europa.eu/resource/authority/file-type/DGN;false;;2000-01-01;DGN;DGN;
http://publications.europa.eu/resource/authority/file-type/DMG;false;;2001-01-01;DMG;DMG;
http://publications.europa.eu/resource/authority/file-type/DMP;false;;2004-01-01;DMP;Oracle Dump;
http://publications.europa.eu/resource/authority/file-type/DOC;false;;2012-09-01;DOC;Word DOC;
http://publications.europa.eu/resource/authority/file-type/DOCX;false;;2012-09-01;DOCX;Word DOCX;
http://publications.europa.eu/resource/authority/file-type/DTD_SGML;false;;2012-09-01;DTD_SGML;SGML DTD;
http://publications.europa.eu/resource/authority/file-type/DTD_XML;false;;2012-09-01;DTD_XML;XML DTD;
http://publications.europa.eu/resource/authority/file-type/DWG;false;;1982-01-01;DWG;DWG;
http://publications.europa.eu/resource/authority/file-type/DXF;false;;1982-01-01;DXF;DXF;
http://publications.europa.eu/resource/authority/file-type/E00;false;;2013-09-18;E00;E00;
http://publications.europa.eu/resource/authority/file-type/EAR;false;;2006-05-11;EAR;EAR;
http://publications.europa.eu/resource/authority/file-type/ECW;false;;1998-01-01;ECW;ECW;
http://publications.europa.eu/resource/authority/file-type/EPS;false;;2012-09-01;EPS;Encapsulated Postscript;
http://publications.europa.eu/resource/authority/file-type/EPUB;false;;2012-09-01;EPUB;EPUB;
http://publications.europa.eu/resource/authority/file-type/ETSI_XML;false;;2021-06-16;ETSI_XML;ETSI signature validation report;
http://publications.europa.eu/resource/authority/file-type/EXE;false;;1978-01-01;EXE;EXE;
http://publications.europa.eu/resource/authority/file-type/FMX2;true;1999-03-31;1989-01-01;FMX2;Formex 2;
http://publications.europa.eu/resource/authority/file-type/FMX3;true;2004-04-30;1999-04-01;FMX3;Formex 3;
http://publications.europa.eu/resource/authority/file-type/FMX4;false;;2004-05-01;FMX4;Formex 4;
http://publications.europa.eu/resource/authority/file-type/FMX4_ZIP;false;;2020-12-16;FMX4_ZIP;FMX4 ZIP;
http://publications.europa.eu/resource/authority/file-type/GDB;false;;2008-02-06;GDB;Esri File Geodatabase;
http://publications.europa.eu/resource/authority/file-type/GEOJSON;false;;2016-08-01;GEOJSON;GeoJSON;
http://publications.europa.eu/resource/authority/file-type/GEOTIFF;false;;2019-09-14;GEOTIFF;GeoTIFF;
http://publications.europa.eu/resource/authority/file-type/GIF;false;;2012-09-01;GIF;GIF;
http://publications.europa.eu/resource/authority/file-type/GML;false;;2000-05-01;GML;GML;
http://publications.europa.eu/resource/authority/file-type/GMZ;false;;2013-09-03;GMZ;Zipped GML;
http://publications.europa.eu/resource/authority/file-type/GPKG;false;;2014-02-13;GPKG;GeoPackage;
http://publications.europa.eu/resource/authority/file-type/GRID;false;;2013-08-21;GRID;Esri binary grid;
http://publications.europa.eu/resource/authority/file-type/GRID_ASCII;false;;2013-08-21;GRID_ASCII;Esri ASCII grid;
http://publications.europa.eu/resource/authority/file-type/GTFS;false;;2006-09-27;GTFS;GTFS;
http://publications.europa.eu/resource/authority/file-type/GZIP;false;;2012-09-01;GZIP;GNU zip;
http://publications.europa.eu/resource/authority/file-type/HDF;false;;1990-01-01;HDF;HDF;
http://publications.europa.eu/resource/authority/file-type/HDT;false;;2011-03-30;HDT;HDT;
http://publications.europa.eu/resource/authority/file-type/HTML;false;;2012-09-01;HTML;HTML;
http://publications.europa.eu/resource/authority/file-type/HTML5;false;;2008-01-22;HTML5;HTML5;
