url;deprecated;valid_until;valid_from;id;label_en;label_it
http://publications.europa.eu/resource/authority/irregularity-type/OP_DATPRO;;;;OP_DATPRO;Provisional data;Dati provvisori
http://publications.europa.eu/resource/authority/irregularity-type/ab-low;false;;2020-06-24;ab-low;Unjustified rejection of abnormally low tenders;Rigetto ingiustificato di offerte anormalmente basse
http://publications.europa.eu/resource/authority/irregularity-type/ar-split;false;;2020-06-24;ar-split;Artificial splitting of contracts;Frazionamento artificioso degli appalti
http://publications.europa.eu/resource/authority/irregularity-type/bid-rigging;false;;2020-06-24;bid-rigging;Bid-rigging (established by a competition / anti-cartel office, a court or other competent body);Turbativa d'asta (accertata da un'autorità anticartello o garante della concorrenza, da un organo giurisdizionale o da un altro organismo competente)
http://publications.europa.eu/resource/authority/irregularity-type/change-eval;false;;2020-06-24;change-eval;Negotiation during the award procedure, including modification of the winning tender during evaluation;Negoziazione nel corso della procedura di aggiudicazione, comprese modifiche dell'offerta vincitrice durante la valutazione
http://publications.europa.eu/resource/authority/irregularity-type/conf-int;false;;2020-06-24;conf-int;Conflict of interest with impact on the outcome of the procurement procedure;Conflitto di interessi con incidenza sul risultato della procedura di appalto
http://publications.europa.eu/resource/authority/irregularity-type/cp-mod-cond;false;;2020-06-24;cp-mod-cond;Competitive procedure with negotiation, with substantial modification of the conditions set out in the contract notice or tender specifications;Procedura competitiva con negoziazione, con modifica sostanziale delle condizioni fissate nel bando di gara o nel capitolato d'oneri
http://publications.europa.eu/resource/authority/irregularity-type/elem-mod;false;;2020-06-24;elem-mod;Modifications of the contract elements set out in the contract notice or tender specifications, not in compliance with the relevant rules;Modifica degli elementi dell'appalto stabiliti nel bando di gara o nel capitolato d'oneri in maniera non conforme alle norme pertinenti
http://publications.europa.eu/resource/authority/irregularity-type/eva-add-crit;false;;2020-06-24;eva-add-crit;Evaluation using additional award criteria that were not published;Valutazione secondo ulteriori criteri di aggiudicazione che non sono stati pubblicati
http://publications.europa.eu/resource/authority/irregularity-type/eva-diff-crit;false;;2020-06-24;eva-diff-crit;Evaluation of tenders using award criteria that are different from the ones stated in the contract notice or tender specifications;Valutazione delle offerte in base a criteri di aggiudicazione differenti da quelli pubblicati nel bando di gara o nel capitolato d'oneri
http://publications.europa.eu/resource/authority/irregularity-type/formal;false;;2020-06-24;formal;Formal;Formale
http://publications.europa.eu/resource/authority/irregularity-type/ins-audit;false;;2020-06-24;ins-audit;Insufficient audit trail for the award of the contract;Pista di controllo insufficiente in relazione all'aggiudicazione dell'appalto
http://publications.europa.eu/resource/authority/irregularity-type/insuf-timl;false;;2020-06-24;insuf-timl;Insufficient time for potential tenderers/candidates to obtain the procurement documents;Tempo insufficiente affinché i potenziali offerenti o candidati ottengano la documentazione di gara
http://publications.europa.eu/resource/authority/irregularity-type/irr-involv;false;;2020-06-24;irr-involv;Irregular prior involvement of candidates or tenderers with the buyer;Precedenti relazioni irregolari di candidati o offerenti con il committente
http://publications.europa.eu/resource/authority/irregularity-type/mod-inco;false;;2020-06-24;mod-inco;Selection criteria or technical specifications were modified after opening of tenders or were incorrectly applied;Criteri di selezione o specifiche tecniche sottoposti a modifica dopo l'apertura delle offerte oppure applicati in modo scorretto
http://publications.europa.eu/resource/authority/irregularity-type/nc-proc-eap;false;;2020-06-24;nc-proc-eap;Non-compliance with the procedure established in the Directive for electronic and aggregated procurement;Inosservanza della procedura stabilita nella direttiva per gli appalti elettronici e aggregati
http://publications.europa.eu/resource/authority/irregularity-type/nc-timl;false;;2020-06-24;nc-timl;Non-compliance with time limits for receipt of tenders or time limits for receipt of requests to participate;Inosservanza dei termini per la ricezione delle offerte o dei termini per la ricezione delle domande di partecipazione
http://publications.europa.eu/resource/authority/irregularity-type/ncompl-awcrit;false;;2020-06-24;ncompl-awcrit;Failure to describe in sufficient detail the award criteria and their weighting;Descrizione non sufficientemente dettagliata dei criteri di aggiudicazione e della relativa ponderazione
