url;deprecated;valid_until;valid_from;id;label_en;label_it
http://publications.europa.eu/resource/authority/procedure/ACC;true;2009-11-30;1958-01-01;ACC;Agreement (ACC);Accordo (ACC)
http://publications.europa.eu/resource/authority/procedure/APP;false;;2009-12-01;APP;Special legislative procedure — EP consent required (APP);Procedura legislativa speciale — Approvazione del PE (APP)
http://publications.europa.eu/resource/authority/procedure/AVC;true;2009-11-30;1987-07-01;AVC;Assent procedure (AVC);Procedura di parere conforme (AVC)
http://publications.europa.eu/resource/authority/procedure/BUD;false;;1958-01-01;BUD;Budgetary procedure (BUD);Procedura di bilancio (BUD)
http://publications.europa.eu/resource/authority/procedure/CNB;true;2009-11-30;1993-11-01;CNB;Consultation of the European Central Bank (CNB);Consultazione della Banca centrale europea (CNB)
http://publications.europa.eu/resource/authority/procedure/CNC;true;2009-11-30;1993-11-01;CNC;Consultation of the Court of Auditors (CNC);Consultazione della Corte dei conti (CNC)
http://publications.europa.eu/resource/authority/procedure/CNS;true;2009-11-30;1958-01-01;CNS;Consultation procedure (CNS);Procedura di consultazione (CNS)
http://publications.europa.eu/resource/authority/procedure/COD;true;2009-11-30;1993-11-01;COD;Co-decision procedure (COD);Procedura di codecisione (COD)
http://publications.europa.eu/resource/authority/procedure/DEA;true;2009-12-02;2009-12-01;DEA;Delegated acts procedure (DEA);Procedura degli atti delegati (DEA)
http://publications.europa.eu/resource/authority/procedure/DEC;false;;1958-01-01;DEC;Budgetary discharge procedure (DEC);Procedura di discarico del bilancio (DEC)
http://publications.europa.eu/resource/authority/procedure/INL;true;2013-10-26;2013-10-25;INL;Legislative initiative (INL);Iniziativa legislativa (INL)
http://publications.europa.eu/resource/authority/procedure/NLE;false;;2009-12-01;NLE;Non-legislative procedure (NLE);Procedura non legislativa (NLE)
http://publications.europa.eu/resource/authority/procedure/OLP;false;;2009-12-01;OLP;Ordinary legislative procedure (COD);Procedura legislativa ordinaria (COD)
http://publications.europa.eu/resource/authority/procedure/OP_DATPRO;false;;1952-07-23;OP_DATPRO;Provisional data;Dati provvisori
http://publications.europa.eu/resource/authority/procedure/PRT;true;1999-04-30;1993-11-01;PRT;Social protocol (PRT);Protocollo sulla politica sociale (PRT)
http://publications.europa.eu/resource/authority/procedure/SLP;false;;2009-12-01;SLP;Special legislative procedure — EP consulted (CNS);Procedura legislativa speciale — Consultazione del PE (CNS)
http://publications.europa.eu/resource/authority/procedure/SYN;true;2009-11-30;1987-07-01;SYN;Cooperation procedure (SYN);Procedura di cooperazione (SYN)
