url,deprecated,valid_until,valid_from,id,label_en,label_it
http://publications.europa.eu/resource/authority/notice-type/OP_DATPRO,false,,1952-07-23,OP_DATPRO,Provisional data,Dati provvisori
http://publications.europa.eu/resource/authority/notice-type/brin-ecs,false,,2021-09-29,brin-ecs,European Company / European Cooperative Society notice,Avviso società europea/società cooperativa europea
http://publications.europa.eu/resource/authority/notice-type/brin-eeig,false,,2021-09-29,brin-eeig,European Economic Interest Grouping notice,Avviso gruppo europeo di interesse economico
http://publications.europa.eu/resource/authority/notice-type/can-desg,false,,2019-09-18,can-desg,Design contest result notice,Comunicazione dei risultati di un concorso di progettazione
http://publications.europa.eu/resource/authority/notice-type/can-modif,false,,2019-09-18,can-modif,Contract modification notice,Avviso di modifica di un appalto
http://publications.europa.eu/resource/authority/notice-type/can-social,false,,2019-09-18,can-social,Contract or concession award notice – light regime,Avviso di aggiudicazione di un appalto o di una concessione – regime alleggerito
http://publications.europa.eu/resource/authority/notice-type/can-standard,false,,2019-09-18,can-standard,Contract or concession award notice – standard regime,Avviso di aggiudicazione di un appalto o di una concessione – regime ordinario
http://publications.europa.eu/resource/authority/notice-type/can-tran,false,,2021-09-29,can-tran,Contract award notice for public passenger transport services, Avviso di aggiudicazione per i servizi di trasporto pubblico di passeggeri
http://publications.europa.eu/resource/authority/notice-type/cn-desg,false,,2019-09-18,cn-desg,Design contest notice,Avviso o bando di concorso di progettazione
http://publications.europa.eu/resource/authority/notice-type/cn-social,false,,2019-09-18,cn-social,Contract notice – light regime,Bando di gara – regime alleggerito
http://publications.europa.eu/resource/authority/notice-type/cn-standard,false,,2019-09-18,cn-standard,Contract or concession notice – standard regime,Bando di gara o di concessione – regime ordinario
http://publications.europa.eu/resource/authority/notice-type/corr,false,,2019-09-18,corr,Change notice,Avviso di rettifica
http://publications.europa.eu/resource/authority/notice-type/pin-buyer,false,,2019-09-18,pin-buyer,Notice of the publication of a prior information notice or a periodic information notice on a buyer profile,Avviso di pubblicazione di un avviso di preinformazione o di un avviso periodico indicativo relativo al profilo di committente
http://publications.europa.eu/resource/authority/notice-type/pin-cfc-social,false,,2019-09-18,pin-cfc-social,Prior information notice or a periodic indicative notice used as a call for competition – light regime,Avviso di preinformazione o avviso periodico indicativo utilizzato come avviso di indizione di gara – regime alleggerito
http://publications.europa.eu/resource/authority/notice-type/pin-cfc-standard,false,,2019-09-18,pin-cfc-standard,Prior information notice or a periodic indicative notice used as a call for competition – standard regime,Avviso di preinformazione o avviso periodico indicativo utilizzato come avviso di indizione di gara – regime ordinario
http://publications.europa.eu/resource/authority/notice-type/pin-only,false,,2019-09-18,pin-only,Prior information notice or a periodic indicative notice used only for information,Avviso di preinformazione o avviso periodico indicativo a fini unicamente informativi
http://publications.europa.eu/resource/authority/notice-type/pin-rtl,false,,2019-09-18,pin-rtl,Prior information notice or a periodic indicative notice used to shorten time limits for receipt of tenders,Avviso di preinformazione o avviso periodico indicativo utilizzato per abbreviare i termini per la ricezione delle offerte
http://publications.europa.eu/resource/authority/notice-type/pin-tran,false,,2021-09-29,pin-tran,Prior information notice for public passenger transport services,Avviso di preinformazione per i servizi di trasporto pubblico di passeggeri
http://publications.europa.eu/resource/authority/notice-type/qu-sy,false,,2019-09-18,qu-sy,Notice on the existence of a qualification system,Avviso sull'esistenza di un sistema di qualificazione
http://publications.europa.eu/resource/authority/notice-type/subco,false,,2019-09-18,subco,Subcontracting notice,Avviso di subappalto
http://publications.europa.eu/resource/authority/notice-type/veat,false,,2019-09-18,veat,Voluntary ex-ante transparency notice,Avviso volontario per la trasparenza ex ante
