url,deprecated,valid_until,valid_from,id,label_en,label_it
http://publications.europa.eu/resource/authority/procjur/ACTION_ANNU,false,,1952-07-24,ACTION_ANNU,Actions for annulment,Ricorso di annullamento
http://publications.europa.eu/resource/authority/procjur/ACTION_DAM,false,,1952-07-24,ACTION_DAM,Action for damages,Ricorso per risarcimento dei danni
http://publications.europa.eu/resource/authority/procjur/ACTION_DIR,false,,1952-07-24,ACTION_DIR,Direct action,Ricorso diretto
http://publications.europa.eu/resource/authority/procjur/ACTION_FAIL_ACT,false,,1952-07-24,ACTION_FAIL_ACT,Actions for failure to act,Ricorso per carenza
http://publications.europa.eu/resource/authority/procjur/ACTION_FAIL_OBLIG,false,,1952-07-24,ACTION_FAIL_OBLIG,Action for a declaration of failure to fulfil obligations,Ricorso per inadempimento
http://publications.europa.eu/resource/authority/procjur/ACTION_SANC,false,,1952-07-24,ACTION_SANC,Appeal brought against a sanction,Ricorso contro una sanzione
http://publications.europa.eu/resource/authority/procjur/ACTION_STAFF,false,,1952-07-24,ACTION_STAFF,Actions brought by officials,Ricorsi di dipendenti
http://publications.europa.eu/resource/authority/procjur/APPEAL,false,,1952-07-24,APPEAL,Appeals,Impugnazione
http://publications.europa.eu/resource/authority/procjur/APPEAL_INTV,false,,1952-07-24,APPEAL_INTV,Appeal on intervention,Impugnazione emessa in sede di intervento
http://publications.europa.eu/resource/authority/procjur/APPEAL_INT_MEAS,false,,1952-07-24,APPEAL_INT_MEAS,Appeal on interim measures,Impugnazione di pronuncia emessa in sede di procedimento sommario
http://publications.europa.eu/resource/authority/procjur/APPL_AID,false,,1952-07-24,APPL_AID,Application for legal aid,Domanda di gratuito patrocinio
http://publications.europa.eu/resource/authority/procjur/APPL_COST,false,,1952-07-24,APPL_COST,Application as to costs,Domanda relativa alle spese
http://publications.europa.eu/resource/authority/procjur/APPL_IMMUN,false,,1952-07-24,APPL_IMMUN,Request concerning immunities,Domanda relativa alle immunità
http://publications.europa.eu/resource/authority/procjur/APPL_IMPL_IMM,false,,1952-07-24,APPL_IMPL_IMM,Application for immediate implementation (EURATOM Treaty),Domanda di esecuzione immediata (Trattato EURATOM)
http://publications.europa.eu/resource/authority/procjur/APPL_INTERP,false,,1952-07-24,APPL_INTERP,Application for the interpretation of a judgment,Domanda di interpretazione di una sentenza
http://publications.europa.eu/resource/authority/procjur/APPL_INTV,false,,1952-07-24,APPL_INTV,Application for leave to intervene,Istanza d'intervento
http://publications.europa.eu/resource/authority/procjur/APPL_MEAS_INQ,false,,1952-07-24,APPL_MEAS_INQ,Application for measures of inquiry,Domanda di misure istruttorie
http://publications.europa.eu/resource/authority/procjur/APPL_RECT,false,,1952-07-24,APPL_RECT,Application for rectification of a judgment,Domanda di rettifica di una sentenza
http://publications.europa.eu/resource/authority/procjur/APPL_REV,false,,1952-07-24,APPL_REV,Application for revision of a judgment,Domanda di revocazione di una sentenza
http://publications.europa.eu/resource/authority/procjur/APPL_SUSP_ADP,false,,1952-07-24,APPL_SUSP_ADP,Application to suspend adoption or stay execution or application for interim measures,Domanda di sospensione dell'esecuzione o domanda di provvedimenti provvisori
http://publications.europa.eu/resource/authority/procjur/APPL_SUSP_ENF,false,,1952-07-24,APPL_SUSP_ENF,Application to suspend enforcement,Domanda di sospensione d'esecuzione forzata
http://publications.europa.eu/resource/authority/procjur/CLAUSE_ARB,false,,1952-07-24,CLAUSE_ARB,Arbitration clause,Clausola compromissoria
http://publications.europa.eu/resource/authority/procjur/COST_ENF,false,,1952-07-24,COST_ENF,Enforcement of costs,Esecuzione delle spese
http://publications.europa.eu/resource/authority/procjur/COST_TAX,false,,1952-07-24,COST_TAX,Taxation of costs,Liquidazione delle spese
http://publications.europa.eu/resource/authority/procjur/DISS,false,,1952-07-24,DISS,Separation of cases,Stralcio di cause
http://publications.europa.eu/resource/authority/procjur/GARNISHEE_ORDER,false,,1952-07-24,GARNISHEE_ORDER,Attachment order,Pignoramento
http://publications.europa.eu/resource/authority/procjur/INTERP,false,,1952-07-24,INTERP,Interpretation,Interpretazione
http://publications.europa.eu/resource/authority/procjur/JUDG_REF_BACK,false,,1952-07-24,JUDG_REF_BACK,Judgment delivered after setting aside and referral back,Sentenza pronunciata a seguito di annullamento e rinvio
http://publications.europa.eu/resource/authority/procjur/JUDG_REV,false,,1952-07-24,JUDG_REV,Revision of a judgment,Revocazione di una sentenza
http://publications.europa.eu/resource/authority/procjur/OMST,false,,1952-07-24,OMST,Failure to adjudicate,Omessa pronuncia
http://publications.europa.eu/resource/authority/procjur/OPPO,false,,1952-07-24,OPPO,Opposition,Opposizione
http://publications.europa.eu/resource/authority/procjur/OP_DATPRO,false,,1952-07-23,OP_DATPRO,Provisional data,Dati provvisori
http://publications.europa.eu/resource/authority/procjur/PPAR,false,,2018-03-16,PPAR,Special proceedings,Procedimento particolare
http://publications.europa.eu/resource/authority/procjur/PROC_OPI,false,,1952-07-24,PROC_OPI,Opinion procedure,Procedura di parere
