url;deprecated;valid_until;valid_from;id;label_en;skos:prefLabel;label_it
http://publications.europa.eu/resource/authority/site/19THSTREET700;false;;1997-11-10;19THSTREET700;19th Street 700;;
http://publications.europa.eu/resource/authority/site/20AVANDREPROTHIN;false;;2019-03-30;20AVANDREPROTHIN;Europlaza;;
http://publications.europa.eu/resource/authority/site/3RDAVENUE666;false;;1958-01-01;3RDAVENUE666;3rd avenue 666;;
http://publications.europa.eu/resource/authority/site/416HANGANGDAERO;false;;2017-12-01;416HANGANGDAERO;416 Hangang-daero;;
http://publications.europa.eu/resource/authority/site/4TAAVE2DACALLE;false;;1958-01-01;4TAAVE2DACALLE;4ta Ave – 2da Calle;;
http://publications.europa.eu/resource/authority/site/5TAAVENIDA2007;false;;1958-01-01;5TAAVENIDA2007;5ta avenida 2007;;
http://publications.europa.eu/resource/authority/site/5TAAVENIDA5_55;false;;1958-01-01;5TAAVENIDA5_55;5ta avenida 5-55;;
http://publications.europa.eu/resource/authority/site/A73;true;2005-01-01;1958-01-01;A73;;;
http://publications.europa.eu/resource/authority/site/ABABUSCENT;false;;1958-01-01;ABABUSCENT;ABA Business Centre;;
http://publications.europa.eu/resource/authority/site/ADALSTR6;false;;1958-01-01;ADALSTR6;Adalstraeti 6;;
http://publications.europa.eu/resource/authority/site/ADG;false;;1958-01-01;ADG;Alcide De Gasperi building;;
http://publications.europa.eu/resource/authority/site/ADHAMOV74;false;;1958-01-01;ADHAMOV74;Adhamov 74;;
http://publications.europa.eu/resource/authority/site/ALAMEERAHBASMA;false;;1958-01-01;ALAMEERAHBASMA;Al-Ameerah Basma;;
http://publications.europa.eu/resource/authority/site/ALVA9;false;;1958-01-01;ALVA9;Alva 9;;
http://publications.europa.eu/resource/authority/site/AMALIAS8;false;;1958-01-01;AMALIAS8;Amalias 8;;
http://publications.europa.eu/resource/authority/site/AMERICA404;false;;1958-01-01;AMERICA404;America 404;;
http://publications.europa.eu/resource/authority/site/AMIRTEMUR107B;false;;1958-01-01;AMIRTEMUR107B;Amir Temur Street 107 B;;
http://publications.europa.eu/resource/authority/site/AN;false;;2008-07-14;AN;;;
http://publications.europa.eu/resource/authority/site/AN88;true;2017-03-31;1958-01-01;AN88;;;
http://publications.europa.eu/resource/authority/site/ANNAKATU18;false;;1958-01-01;ANNAKATU18;Annakatu 18;;
http://publications.europa.eu/resource/authority/site/ANX;true;;1958-01-01;ANX;Annex Building North-East (A-NE);;
http://publications.europa.eu/resource/authority/site/ARCBUILDING;false;;1958-01-01;ARCBUILDING;Arc building;;
http://publications.europa.eu/resource/authority/site/AREA18ROUNDABOUT;false;;1958-01-01;AREA18ROUNDABOUT;Area 18 Roundabout;;
http://publications.europa.eu/resource/authority/site/ARGENTINIERSTRASSE26;false;;1958-01-01;ARGENTINIERSTRASSE26;Argentinierstrasse26;;
http://publications.europa.eu/resource/authority/site/ARIA;false;;2015-01-01;ARIA;Ariane building;;
http://publications.europa.eu/resource/authority/site/ARKANA18;false;;1958-01-01;ARKANA18;Arkana 18;;
http://publications.europa.eu/resource/authority/site/ARTIGAS1300;false;;1958-01-01;ARTIGAS1300;Artigas 1300;;
http://publications.europa.eu/resource/authority/site/ASP;false;;1958-01-01;ASP;Altiero Spinelli;;
http://publications.europa.eu/resource/authority/site/ASPAZIJAS28;false;;1958-01-01;ASPAZIJAS28;Aspazijas 28;;
http://publications.europa.eu/resource/authority/site/ATLANTICROAD74;false;;1958-01-01;ATLANTICROAD74;Atlantic Road 74;;
http://publications.europa.eu/resource/authority/site/ATR;false;;1958-01-01;ATR;Atrium 1 and 2;;
http://publications.europa.eu/resource/authority/site/AUGUSTACESARCA4_6;false;;1958-01-01;AUGUSTACESARCA4_6;Augusta Cesarca 4-6;;
http://publications.europa.eu/resource/authority/site/AUXENCEICKONGA;false;;1958-01-01;AUXENCEICKONGA;Impasse Auxence Ickonga;;
http://publications.europa.eu/resource/authority/site/AVBARTHBOGANDA;false;;1958-01-01;AVBARTHBOGANDA;Avenue Barthélémy Boganda;;
http://publications.europa.eu/resource/authority/site/AVCLOZEL;false;;1958-01-01;AVCLOZEL;Av. Clozel;;
http://publications.europa.eu/resource/authority/site/AVCOSTANERA300;false;;1958-01-01;AVCOSTANERA300;Avenida Costanera 300;;
http://publications.europa.eu/resource/authority/site/AVENUEDUMOUNIO;false;;1958-01-01;AVENUEDUMOUNIO;Avenue du Mounio;;
http://publications.europa.eu/resource/authority/site/AVEUROPA4;false;;1958-01-01;AVEUROPA4;Avenida de Europa 4;;
http://publications.europa.eu/resource/authority/site/AVKWAMENKRUMAH;false;;1958-01-01;AVKWAMENKRUMAH;Avenue Kwame N'Krumah;;
http://publications.europa.eu/resource/authority/site/AVLINCOLN1063;false;;1958-01-01;AVLINCOLN1063;Av. Abraham Lincoln 1063;;
http://publications.europa.eu/resource/authority/site/AVMENDANA;false;;1958-01-01;AVMENDANA;Mendana Avenue;;
http://publications.europa.eu/resource/authority/site/AVORELLANAE11_160;false;;1958-01-01;AVORELLANAE11_160;Av. Orellana E11-160;;
http://publications.europa.eu/resource/authority/site/AVORINOCO;false;;1958-01-01;AVORINOCO;Avenida Orinoco;;
http://publications.europa.eu/resource/authority/site/AVRICARDOLYON222;false;;1958-01-01;AVRICARDOLYON222;Av. Ricardo Lyon 222;;
http://publications.europa.eu/resource/authority/site/AVROTARYINTER;false;;1958-01-01;AVROTARYINTER;Avenida Rotary International;;
http://publications.europa.eu/resource/authority/site/AVSUFFREN100;false;;1958-01-01;AVSUFFREN100;Av Suffren 100;;
