url;deprecated;valid_until;valid_from;id;label_en;label_it
http://publications.europa.eu/resource/authority/subdivision/ACT;false;;1952-12-30;ACT;act;atto
http://publications.europa.eu/resource/authority/subdivision/AGR;false;;1952-07-24;AGR;agreement;accordo
http://publications.europa.eu/resource/authority/subdivision/ALN;false;;2015-03-18;ALN;unnumbered paragraph;comma
http://publications.europa.eu/resource/authority/subdivision/ANX;false;;2015-03-18;ANX;annex;allegato
http://publications.europa.eu/resource/authority/subdivision/APP;false;;2015-03-18;APP;appendix;appendice
http://publications.europa.eu/resource/authority/subdivision/ART;false;;2015-03-18;ART;article;articolo
http://publications.europa.eu/resource/authority/subdivision/CGR;false;;2004-05-01;CGR;group of corrections;gruppo di correzioni
http://publications.europa.eu/resource/authority/subdivision/CIT;false;;2015-03-18;CIT;citation;visto
http://publications.europa.eu/resource/authority/subdivision/CLS;false;;2015-03-18;CLS;clause;clausola
http://publications.europa.eu/resource/authority/subdivision/CNV;false;;1952-12-30;CNV;convention;convenzione
http://publications.europa.eu/resource/authority/subdivision/COL;false;;1952-12-30;COL;table column;colonna della tabella
http://publications.europa.eu/resource/authority/subdivision/COR;false;;2004-05-01;COR;correction;correzione
http://publications.europa.eu/resource/authority/subdivision/CPT;false;;2015-03-18;CPT;chapter;capo
http://publications.europa.eu/resource/authority/subdivision/DCL;false;;1952-12-30;DCL;declaration;dichiarazione
http://publications.europa.eu/resource/authority/subdivision/DES;false;;2004-05-01;DES;description;descrizione
http://publications.europa.eu/resource/authority/subdivision/ENC;false;;1952-12-30;ENC;enacting terms;articolato
http://publications.europa.eu/resource/authority/subdivision/END;false;;1952-12-30;END;endnote;nota
http://publications.europa.eu/resource/authority/subdivision/EXL;false;;1952-12-30;EXL;exchange of letters;scambio di lettere
http://publications.europa.eu/resource/authority/subdivision/FGR;false;;1952-12-30;FGR;figure;illustrazione
http://publications.europa.eu/resource/authority/subdivision/FNA;false;;1952-12-30;FNA;final act;atto finale
http://publications.europa.eu/resource/authority/subdivision/FNP;false;;1952-12-30;FNP;final part;parte finale
http://publications.europa.eu/resource/authority/subdivision/FTN;false;;1952-12-30;FTN;footnote;nota a piè di pagina
http://publications.europa.eu/resource/authority/subdivision/IDT;false;;2015-03-18;IDT;indent;trattino
http://publications.europa.eu/resource/authority/subdivision/IMG;false;;1952-12-30;IMG;image;immagine
http://publications.europa.eu/resource/authority/subdivision/INP;false;;1952-12-30;INP;introductory part;parte introduttiva
http://publications.europa.eu/resource/authority/subdivision/LGD;false;;1952-12-30;LGD;legend;legenda
http://publications.europa.eu/resource/authority/subdivision/LLG;false;;1952-12-30;LLG;line of legend;riga di legenda
http://publications.europa.eu/resource/authority/subdivision/LST;false;;1952-12-30;LST;list;elenco
